vehicle_id,travel_id,departure_at,from,to
65dda7755e43b9d7d3e4f3f9,65dda7765e43b9d7d3e4f48e,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda7765e43b9d7d3e4f4bf,65dda7795e43b9d7d3e4f67d,2024-03-03,"Pokhara, Kaski","Pathri, Morong"
65dda7775e43b9d7d3e4f4e6,65dda77a5e43b9d7d3e4f6df,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda7775e43b9d7d3e4f529,65dda77a5e43b9d7d3e4f74b,2024-03-03,"Pathri, Morong","Koteshowr, Kathmandu"
65dda7775e43b9d7d3e4f534,65dda77a5e43b9d7d3e4f753,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda7775e43b9d7d3e4f53f,65dda77a5e43b9d7d3e4f76d,2024-03-03,"Kerkha, Jhapa","Pokhara, Kaski"
65dda7775e43b9d7d3e4f54d,65dda77a5e43b9d7d3e4f778,2024-03-03,"Pokhara, Kaski","Pathri, Morong"
65dda7775e43b9d7d3e4f557,65dda77b5e43b9d7d3e4f798,2024-03-03,"Pathri, Morong","Koteshowr, Kathmandu"
65dda7775e43b9d7d3e4f569,65dda77b5e43b9d7d3e4f7a1,2024-03-03,"Koteshowr, Kathmandu","Biratnagar, Sunsari"
65dda7785e43b9d7d3e4f583,65dda77b5e43b9d7d3e4f7c4,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda7785e43b9d7d3e4f58b,65dda77b5e43b9d7d3e4f7df,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda7785e43b9d7d3e4f5c2,65dda77b5e43b9d7d3e4f80e,2024-03-03,"Pathri, Morong","Koteshowr, Kathmandu"
65dda7785e43b9d7d3e4f5cd,65dda77b5e43b9d7d3e4f82a,2024-03-03,"Pokhara, Kaski","Pathri, Morong"
65dda7785e43b9d7d3e4f5df,65dda77c5e43b9d7d3e4f83c,2024-03-03,"Koteshowr, Kathmandu","Biratnagar, Sunsari"
65dda7785e43b9d7d3e4f5e1,65dda77c5e43b9d7d3e4f843,2024-03-03,"Pokhara, Kaski","Pathri, Morong"
65dda7785e43b9d7d3e4f610,65dda77c5e43b9d7d3e4f871,2024-03-03,"Pokhara, Kaski","Pathri, Morong"
65dda7795e43b9d7d3e4f63b,65dda77c5e43b9d7d3e4f89d,2024-03-03,"Koteshowr, Kathmandu","Biratnagar, Sunsari"
65dda7795e43b9d7d3e4f650,65dda77c5e43b9d7d3e4f8bb,2024-03-03,"Pathri, Morong","Koteshowr, Kathmandu"
65dda7795e43b9d7d3e4f661,65dda77c5e43b9d7d3e4f8d5,2024-03-03,"Pokhara, Kaski","Pathri, Morong"
65dda7795e43b9d7d3e4f6ca,65dda77d5e43b9d7d3e4f937,2024-03-03,"Kerkha, Jhapa","Pokhara, Kaski"
65dda77a5e43b9d7d3e4f6ef,65dda77d5e43b9d7d3e4f95f,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda7775e43b9d7d3e4f4d3,65dda77d5e43b9d7d3e4f971,2024-03-03,"Pokhara, Kaski","Pathri, Morong"
65dda77a5e43b9d7d3e4f712,65dda77d5e43b9d7d3e4f988,2024-03-03,"Pokhara, Kaski","Pathri, Morong"
65dda7775e43b9d7d3e4f4ef,65dda77e5e43b9d7d3e4f9b2,2024-03-03,"Koteshowr, Kathmandu","Biratnagar, Sunsari"
65dda7775e43b9d7d3e4f4ea,65dda77e5e43b9d7d3e4f9b4,2024-03-03,"Pathri, Morong","Koteshowr, Kathmandu"
65dda7775e43b9d7d3e4f4fb,65dda77e5e43b9d7d3e4f9d4,2024-03-03,"Kerkha, Jhapa","Pokhara, Kaski"
65dda77a5e43b9d7d3e4f785,65dda77e5e43b9d7d3e4f9f4,2024-03-03,"Pathri, Morong","Koteshowr, Kathmandu"
65dda7775e43b9d7d3e4f513,65dda77e5e43b9d7d3e4f9ff,2024-03-03,"Pathri, Morong","Koteshowr, Kathmandu"
65dda77b5e43b9d7d3e4f7cf,65dda77e5e43b9d7d3e4fa3a,2024-03-03,"Pathri, Morong","Koteshowr, Kathmandu"
65dda7775e43b9d7d3e4f570,65dda77f5e43b9d7d3e4fa87,2024-03-03,"Pokhara, Kaski","Pathri, Morong"
65dda77c5e43b9d7d3e4f85c,65dda77f5e43b9d7d3e4fac8,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda7785e43b9d7d3e4f5a7,65dda77f5e43b9d7d3e4facd,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda77c5e43b9d7d3e4f8a2,65dda7805e43b9d7d3e4fb0b,2024-03-03,"Pathri, Morong","Koteshowr, Kathmandu"
65dda77c5e43b9d7d3e4f8c5,65dda7805e43b9d7d3e4fb32,2024-03-03,"Kerkha, Jhapa","Pokhara, Kaski"
65dda7785e43b9d7d3e4f5ff,65dda7805e43b9d7d3e4fb44,2024-03-03,"Pathri, Morong","Koteshowr, Kathmandu"
65dda7785e43b9d7d3e4f61f,65dda7805e43b9d7d3e4fb62,2024-03-03,"Koteshowr, Kathmandu","Biratnagar, Sunsari"
65dda7795e43b9d7d3e4f63f,65dda7805e43b9d7d3e4fb85,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda77d5e43b9d7d3e4f92e,65dda7815e43b9d7d3e4fba5,2024-03-03,"Koteshowr, Kathmandu","Biratnagar, Sunsari"
65dda77d5e43b9d7d3e4f952,65dda7815e43b9d7d3e4fbc7,2024-03-03,"Pokhara, Kaski","Pathri, Morong"
65dda7795e43b9d7d3e4f684,65dda7815e43b9d7d3e4fbcc,2024-03-03,"Koteshowr, Kathmandu","Biratnagar, Sunsari"
65dda77d5e43b9d7d3e4f977,65dda7815e43b9d7d3e4fbe6,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda7795e43b9d7d3e4f6a7,65dda7815e43b9d7d3e4fbf1,2024-03-03,"Koteshowr, Kathmandu","Biratnagar, Sunsari"
65dda77e5e43b9d7d3e4f99b,65dda7815e43b9d7d3e4fbf8,2024-03-03,"Koteshowr, Kathmandu","Biratnagar, Sunsari"
65dda77e5e43b9d7d3e4f9c1,65dda7815e43b9d7d3e4fc2d,2024-03-03,"Pathri, Morong","Koteshowr, Kathmandu"
65dda77a5e43b9d7d3e4f708,65dda7815e43b9d7d3e4fc3a,2024-03-03,"Koteshowr, Kathmandu","Biratnagar, Sunsari"
65dda77e5e43b9d7d3e4f9e4,65dda7825e43b9d7d3e4fc50,2024-03-03,"Pokhara, Kaski","Pathri, Morong"
65dda77a5e43b9d7d3e4f731,65dda7825e43b9d7d3e4fc59,2024-03-03,"Koteshowr, Kathmandu","Biratnagar, Sunsari"
65dda77a5e43b9d7d3e4f739,65dda7825e43b9d7d3e4fc77,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda77a5e43b9d7d3e4f75f,65dda7825e43b9d7d3e4fc7d,2024-03-03,"Pathri, Morong","Koteshowr, Kathmandu"
65dda77e5e43b9d7d3e4fa29,65dda7825e43b9d7d3e4fc80,2024-03-03,"Kerkha, Jhapa","Pokhara, Kaski"
65dda77b5e43b9d7d3e4f7aa,65dda7825e43b9d7d3e4fcbc,2024-03-03,"Pokhara, Kaski","Pathri, Morong"
65dda77b5e43b9d7d3e4f7f1,65dda7835e43b9d7d3e4fd13,2024-03-03,"Kerkha, Jhapa","Pokhara, Kaski"
65dda77b5e43b9d7d3e4f80f,65dda7835e43b9d7d3e4fd19,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda77b5e43b9d7d3e4f813,65dda7835e43b9d7d3e4fd1d,2024-03-03,"Koteshowr, Kathmandu","Biratnagar, Sunsari"
65dda77f5e43b9d7d3e4fade,65dda7835e43b9d7d3e4fd20,2024-03-03,"Pokhara, Kaski","Pathri, Morong"
65dda77b5e43b9d7d3e4f817,65dda7835e43b9d7d3e4fd39,2024-03-03,"Kerkha, Jhapa","Pokhara, Kaski"
65dda7805e43b9d7d3e4fb02,65dda7835e43b9d7d3e4fd40,2024-03-03,"Pathri, Morong","Koteshowr, Kathmandu"
65dda77c5e43b9d7d3e4f839,65dda7835e43b9d7d3e4fd57,2024-03-03,"Pokhara, Kaski","Pathri, Morong"
65dda77c5e43b9d7d3e4f84e,65dda7835e43b9d7d3e4fd5b,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda77c5e43b9d7d3e4f86f,65dda7835e43b9d7d3e4fd78,2024-03-03,"Pathri, Morong","Koteshowr, Kathmandu"
65dda77c5e43b9d7d3e4f87f,65dda7835e43b9d7d3e4fd95,2024-03-03,"Pathri, Morong","Koteshowr, Kathmandu"
65dda7805e43b9d7d3e4fb73,65dda7845e43b9d7d3e4fda2,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda77d5e43b9d7d3e4f8e8,65dda7845e43b9d7d3e4fdeb,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda7815e43b9d7d3e4fbe1,65dda7845e43b9d7d3e4fdf1,2024-03-03,"Pathri, Morong","Koteshowr, Kathmandu"
65dda77d5e43b9d7d3e4f90b,65dda7845e43b9d7d3e4fe08,2024-03-03,"Koteshowr, Kathmandu","Biratnagar, Sunsari"
65dda7815e43b9d7d3e4fc05,65dda7845e43b9d7d3e4fe24,2024-03-03,"Pathri, Morong","Koteshowr, Kathmandu"
65dda77d5e43b9d7d3e4f94f,65dda7845e43b9d7d3e4fe2b,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda7825e43b9d7d3e4fc48,65dda7855e43b9d7d3e4fe5e,2024-03-03,"Kerkha, Jhapa","Pokhara, Kaski"
65dda7825e43b9d7d3e4fc69,65dda7855e43b9d7d3e4fe79,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda7825e43b9d7d3e4fc89,65dda7855e43b9d7d3e4fe97,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda77e5e43b9d7d3e4fa06,65dda7855e43b9d7d3e4febb,2024-03-03,"Pathri, Morong","Koteshowr, Kathmandu"
65dda7825e43b9d7d3e4fcc7,65dda7855e43b9d7d3e4fecf,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda7835e43b9d7d3e4fd04,65dda7865e43b9d7d3e4ff01,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda77f5e43b9d7d3e4fa4d,65dda7865e43b9d7d3e4ff0d,2024-03-03,"Pokhara, Kaski","Pathri, Morong"
65dda7835e43b9d7d3e4fd25,65dda7865e43b9d7d3e4ff17,2024-03-03,"Pokhara, Kaski","Pathri, Morong"
65dda77f5e43b9d7d3e4fa70,65dda7865e43b9d7d3e4ff2b,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda7835e43b9d7d3e4fd28,65dda7865e43b9d7d3e4ff2c,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda7835e43b9d7d3e4fd45,65dda7865e43b9d7d3e4ff34,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda77f5e43b9d7d3e4fa94,65dda7865e43b9d7d3e4ff49,2024-03-03,"Koteshowr, Kathmandu","Biratnagar, Sunsari"
65dda77f5e43b9d7d3e4fab9,65dda7865e43b9d7d3e4ff4b,2024-03-03,"Pathri, Morong","Koteshowr, Kathmandu"
65dda7835e43b9d7d3e4fd63,65dda7865e43b9d7d3e4ff4e,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda7835e43b9d7d3e4fd7f,65dda7865e43b9d7d3e4ff62,2024-03-03,"Kerkha, Jhapa","Pokhara, Kaski"
65dda7805e43b9d7d3e4fb2a,65dda7865e43b9d7d3e4ff9e,2024-03-03,"Pokhara, Kaski","Pathri, Morong"
65dda7805e43b9d7d3e4fb4e,65dda7865e43b9d7d3e4ffa2,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda7845e43b9d7d3e4fdfb,65dda7875e43b9d7d3e4ffc3,2024-03-03,"Kerkha, Jhapa","Pokhara, Kaski"
65dda7805e43b9d7d3e4fb98,65dda7875e43b9d7d3e4ffd6,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda7845e43b9d7d3e4fe34,65dda7875e43b9d7d3e4ffe2,2024-03-03,"Kerkha, Jhapa","Pokhara, Kaski"
65dda7815e43b9d7d3e4fbbd,65dda7875e43b9d7d3e4ffeb,2024-03-03,"Koteshowr, Kathmandu","Biratnagar, Sunsari"
65dda7855e43b9d7d3e4fe52,65dda7875e43b9d7d3e4fff4,2024-03-03,"Pokhara, Kaski","Pathri, Morong"
65dda7815e43b9d7d3e4fc26,65dda7875e43b9d7d3e50015,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda7825e43b9d7d3e4fca6,65dda7875e43b9d7d3e50047,2024-03-03,"Kerkha, Jhapa","Pokhara, Kaski"
65dda7865e43b9d7d3e4ff06,65dda7875e43b9d7d3e50048,2024-03-03,"Pokhara, Kaski","Pathri, Morong"
65dda7825e43b9d7d3e4fce4,65dda7885e43b9d7d3e5005f,2024-03-03,"Biratnagar, Sunsari","Kerkha, Jhapa"
65dda7845e43b9d7d3e4fd9d,65dda7885e43b9d7d3e50093,2024-03-03,"Pokhara, Kaski","Pathri, Morong"
